file,class_name,source_origin,source_topic,loc,is_interactive_program,src_compiled,src_compile_errors,src_warnings,runtime_attempted,runtime_errors,exception_types,test_exists,test_compiled,test_compile_errors,tests_passed,tests_failed,tests_total,test_status,total_defects,defect_density,density_grade,is_defective,defect_types
AmountOfTimeForBinaryTreeToBeInfected.java,AmountOfTimeForBinaryTreeToBeInfected,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AmountTimeToInform.java,AmountTimeToInform,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AnagramDetector.java,AnagramDetector,unknown,,33,False,True,0,0,False,0,,True,True,0,10,0,10,tests_executed,0,0.0,Clean,0,none
AnagramGroupCounter.java,AnagramGroupCounter,unknown,,18,False,True,0,0,False,0,,True,True,0,5,0,5,tests_executed,0,0.0,Clean,0,none
ArithmeticSlices.java,ArithmeticSlices,unknown,,15,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArithmeticSlicesIISubsequence.java,ArithmeticSlicesIISubsequence,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArithmeticSlicesIISubsequenceII.java,ArithmeticSlicesIISubsequenceII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArithmeticSlicesIISubsequenceIII.java,ArithmeticSlicesIISubsequenceIII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArithmeticSlicesIISubsequenceIV.java,ArithmeticSlicesIISubsequenceIV,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArmstrongChecker.java,ArmstrongChecker,unknown,,19,False,True,0,0,False,0,,True,True,0,2,3,5,tests_executed,3,157.89,High,1,test_failure
ArmstrongNumberRange.java,ArmstrongNumberRange,unknown,,14,False,True,0,0,False,0,,True,True,0,5,0,5,tests_executed,0,0.0,Clean,0,none
ArmstrongRangeFinder.java,ArmstrongRangeFinder,unknown,,15,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,66.67,High,1,test_failure
ArrayAverageCalculator.java,ArrayAverageCalculator,unknown,,8,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayBoundaryCrash.java,ArrayBoundaryCrash,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayCloner.java,ArrayCloner,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayDifferenceCalculator.java,ArrayDifferenceCalculator,unknown,,11,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,90.91,High,1,test_failure
ArrayDuplicateChecker.java,ArrayDuplicateChecker,unknown,,15,False,True,0,0,False,0,,True,True,0,3,0,3,tests_executed,0,0.0,Clean,0,none
ArrayElementSummer.java,ArrayElementSummer,unknown,,9,False,True,0,0,False,0,,True,True,0,3,0,3,tests_executed,0,0.0,Clean,0,none
ArrayFrontElement.java,ArrayFrontElement,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
ArrayIndexCrasher.java,ArrayIndexCrasher,unknown,,5,False,True,0,0,False,0,,True,True,0,0,3,3,tests_executed,3,600.0,High,1,test_failure
ArrayIntersectionFinder.java,ArrayIntersectionFinder,unknown,,27,False,True,0,0,False,0,,True,True,0,2,1,3,tests_executed,1,37.04,High,1,test_failure
ArrayMaxDifference.java,ArrayMaxDifference,unknown,,11,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,90.91,High,1,test_failure
ArrayMedianFinder.java,ArrayMedianFinder,unknown,,11,False,True,0,0,False,0,,True,True,0,0,3,3,tests_executed,3,272.73,High,1,test_failure
ArrayMiddleFetcher.java,ArrayMiddleFetcher,unknown,,5,False,True,0,0,False,0,,True,True,0,0,3,3,tests_executed,3,600.0,High,1,test_failure
ArrayMinimumFinder.java,ArrayMinimumFinder,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayMultiplier.java,ArrayMultiplier,unknown,,9,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,111.11,High,1,test_failure
ArrayOverflowCrash.java,ArrayOverflowCrash,unknown,,5,False,True,0,0,False,0,,True,True,0,3,0,3,tests_executed,0,0.0,Clean,0,none
ArrayPartitionI.java,ArrayPartitionI,unknown,,6,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayPartitionII.java,ArrayPartitionII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayPartitionIII.java,ArrayPartitionIII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayPartitionIV.java,ArrayPartitionIV,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayPeakDetector.java,ArrayPeakDetector,unknown,,11,False,True,0,0,False,0,,True,True,0,1,1,2,tests_executed,1,90.91,High,1,test_failure
ArrayProductCalculator.java,ArrayProductCalculator,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayReverser.java,ArrayReverser,unknown,,10,False,True,0,0,False,0,,True,True,0,2,4,6,tests_executed,4,400.0,High,1,test_failure
ArrayRotator.java,ArrayRotator,unknown,,13,False,True,0,0,False,0,,True,True,0,4,2,6,tests_executed,2,153.85,High,1,test_failure
ArrayTailFinder.java,ArrayTailFinder,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
ArrayWindowAverager.java,ArrayWindowAverager,unknown,,9,False,True,0,0,False,0,,True,True,0,0,3,3,tests_executed,3,333.33,High,1,test_failure
AsFarFromLandAsPossible.java,AsFarFromLandAsPossible,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AsFarFromLandAsPossibleII.java,AsFarFromLandAsPossibleII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AsFarFromLandAsPossibleIII.java,AsFarFromLandAsPossibleIII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AscendingOrderChecker.java,AscendingOrderChecker,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
AscendingOrderValidator.java,AscendingOrderValidator,unknown,,12,False,True,0,0,False,0,,True,True,0,0,2,2,tests_executed,2,166.67,High,1,test_failure
AsteroidCollisionVI.java,AsteroidCollisionVI,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
AuthenticationManager.java,AuthenticationManager,unknown,,22,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AuthenticationManagerII.java,AuthenticationManagerII,unknown,,22,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AverageCalculator.java,AverageCalculator,unknown,,9,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,111.11,High,1,test_failure
AverageDigitFinder.java,AverageDigitFinder,unknown,,12,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AverageLevelsBinaryTree.java,AverageLevelsBinaryTree,unknown,,24,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AverageOfLevelsInBinaryTreeII.java,AverageOfLevelsInBinaryTreeII,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BalancedBinaryTree.java,BalancedBinaryTree,unknown,,16,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BalancedBinaryTreeII.java,BalancedBinaryTreeII,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BalancedBracketValidator.java,BalancedBracketValidator,unknown,,25,False,True,0,0,False,0,,True,True,0,3,0,3,tests_executed,0,0.0,Clean,0,none
BalancedParenthesisChecker.java,BalancedParenthesisChecker,unknown,,18,False,True,0,0,False,0,,True,True,0,3,0,3,tests_executed,0,0.0,Clean,0,none
BasicCalculator.java,BasicCalculator,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
BasicCalculatorII.java,BasicCalculatorII,unknown,,25,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BasicCalculatorIII.java,BasicCalculatorIII,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
BasicCalculatorIV.java,BasicCalculatorIV,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
BasicCalculatorV.java,BasicCalculatorV,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BasicCalculatorVI.java,BasicCalculatorVI,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BestTeamWithNoConflicts.java,BestTeamWithNoConflicts,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
BestTimeBuySellStock.java,BestTimeBuySellStock,unknown,,11,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,90.91,High,1,test_failure
